policy_id,partner_id,product_id,inception_date,date_of_birth,gender,province,cover_amount,monthly_premium,policy_status,termination_date,source_file,load_timestamp
POL000001,PART001,PRD001,2025-12-20,1978-12-20,F,Mpumalanga,29600.0,142.08,Active,,policies.csv,2026-09-03 13:30:17
POL000002,PART002,PRD003,2025-12-25,1962-12-25,F,Mpumalanga,50000.0,89.0,Active,,policies.csv,2026-09-03 13:30:17
POL000003,PART001,PRD001,2026-02-12,2000-02-12,M,Eastern Cape,26600.0,127.68,Active,,policies.csv,2026-09-03 13:30:17
POL000004,PART005,PRD009,2026-04-21,1962-04-21,F,KwaZulu-Natal,105800.0,444.36,Active,,policies.csv,2026-09-03 13:30:17
POL000005,PART002,PRD004,2025-08-18,1983-08-18,M,Eastern Cape,75000.0,111.75,Active,,policies.csv,2026-09-03 13:30:17
POL000006,PART005,PRD010,2025-10-08,2005-10-08,M,KwaZulu-Natal,73000.0,255.5,Active,,policies.csv,2026-09-03 13:30:17
POL000007,PART003,PRD005,2026-01-28,1999-01-28,M,Gauteng,92500.0,508.75,Active,,policies.csv,2026-09-03 13:30:17
POL000008,PART002,PRD004,2026-04-22,1964-04-22,M,Eastern Cape,100000.0,149.0,Active,,policies.csv,2026-09-03 13:30:17
POL000009,PART004,PRD007,2026-04-14,1964-04-14,F,Western Cape,167300.0,819.77,Active,,policies.csv,2026-09-03 13:30:17
POL000010,PART004,PRD007,2026-01-27,1980-01-27,M,Eastern Cape,79400.0,389.06,Active,,policies.csv,2026-09-03 13:30:17
POL000011,PART004,PRD008,2026-01-07,1973-01-07,M,Eastern Cape,100000.0,158.67,Active,,policies.csv,2026-09-03 13:30:17
POL000012,PART001,PRD002,2026-04-16,1992-04-16,M,KwaZulu-Natal,100200.0,621.24,Active,,policies.csv,2026-09-03 13:30:17
POL000013,PART003,PRD006,2026-04-22,1998-04-22,M,North West,156400.0,1032.24,Active,,policies.csv,2026-09-03 13:30:17
POL000014,PART004,PRD008,2026-03-06,1981-03-06,F,Mpumalanga,25000.0,39.67,Cancelled,2026-06-30,policies.csv,2026-09-03 13:30:17
POL000015,PART005,PRD009,2025-07-30,2005-07-30,M,KwaZulu-Natal,107800.0,452.76,Active,,policies.csv,2026-09-03 13:30:17
POL000016,PART003,PRD005,2025-09-09,2002-09-09,F,KwaZulu-Natal,77400.0,425.7,Active,,policies.csv,2026-09-03 13:30:17
POL000017,PART004,PRD007,2025-07-10,1979-07-10,F,Western Cape,51300.0,251.37,Active,,policies.csv,2026-09-03 13:30:17
POL000018,PART001,PRD002,2026-01-23,1975-01-23,M,North West,40800.0,252.96,Active,,policies.csv,2026-09-03 13:30:17
POL000019,PART003,PRD006,2025-08-15,2003-08-15,M,Western Cape,158600.0,1046.76,Active,,policies.csv,2026-09-03 13:30:17
POL000020,PART001,PRD001,2026-03-30,2005-03-30,F,Western Cape,71200.0,341.76,Active,,policies.csv,2026-09-03 13:30:17
POL000021,PART001,PRD002,2025-10-23,1968-10-23,F,Western Cape,46400.0,287.68,Active,,policies.csv,2026-09-03 13:30:17
POL000022,PART002,PRD004,2025-10-05,1973-10-05,M,Western Cape,100000.0,149.0,Active,,policies.csv,2026-09-03 13:30:17
POL000023,PART001,PRD001,2026-02-15,1982-02-15,F,KwaZulu-Natal,18800.0,90.24,Active,,policies.csv,2026-09-03 13:30:17
POL000024,PART004,PRD008,2025-08-03,1971-08-03,F,KwaZulu-Natal,25000.0,39.67,Active,,policies.csv,2026-09-03 13:30:17
POL000025,PART002,PRD004,2025-12-18,1985-12-18,M,Western Cape,100000.0,149.0,Active,,policies.csv,2026-09-03 13:30:17
